접종일,당일 1차접종자 수,당일 2차접종자 수,동절기접종 누계,"코로나, 루머, 백신",백신 가짜뉴스
2021-04-21,20830,25,,0.0,2.0
2021-04-22,22831,2358,,0.0,3.0
2021-04-23,28378,2475,,0.0,1.0
2021-04-24,4663,137,,0.0,1.0
2021-04-25,204,0,,0.0,0.0
2021-04-26,23323,3411,,0.0,0.0
2021-04-27,23973,3721,,0.0,0.0
2021-04-28,31795,2062,,,4.0
2021-04-29,33484,3921,,,0.0
2021-04-30,38789,4280,,,7.0
2021-05-01,8683,691,,,0.0
2021-05-02,82,0,,,0.0
2021-05-03,19795,5033,,,4.0
2021-05-04,18942,4665,,,0.0
2021-05-05,1788,1650,,,1.0
2021-05-06,11021,11715,,,1.0
2021-05-07,17490,11219,,,2.0
2021-05-08,2801,1789,,,1.0
2021-05-09,0,0,,,1.0
2021-05-10,3131,12457,,,2.0
2021-05-11,2796,13030,,,1.0
2021-05-12,2282,13971,,,1.0
2021-05-13,3391,12435,,,3.0
2021-05-14,3827,12751,,,2.0
2021-05-15,956,3796,,,2.0
2021-05-16,0,0,,,0.0
2021-05-17,3197,13074,,,2.0
2021-05-18,2983,16649,,,3.0
2021-05-19,14,3724,,,2.0
2021-05-20,2205,22755,,,4.0
2021-05-21,2271,28449,,,3.0
2021-05-22,2477,4099,,,0.0
2021-05-23,0,0,,,3.0
2021-05-24,7688,21524,,,2.0
2021-05-25,7748,21010,,,3.0
2021-05-26,10780,16175,,,5.0
2021-05-27,122034,13061,,,3.0
2021-05-28,104641,17031,,,2.0
2021-05-29,33401,3580,,,0.0
2021-05-30,950,0,,,1.0
2021-05-31,75387,8127,,,4.0
2021-06-01,103600,7109,,,4.0
2021-06-02,73063,6277,,,3.0
2021-06-03,66402,8383,,,6.0
2021-06-04,76685,10339,,,3.0
2021-06-05,31613,1135,,,2.0
2021-06-06,463,0,,,2.0
2021-06-07,158842,5412,,,3.0
2021-06-08,131465,4672,,,3.0
2021-06-09,104841,3076,,,3.0
2021-06-10,148732,68440,,,4.0
2021-06-11,165265,55544,,,2.0
2021-06-12,82931,28724,,,0.0
2021-06-13,5702,2522,,,2.0
2021-06-14,145519,52848,,,2.0
2021-06-15,122487,37687,,,4.0
2021-06-16,112311,57409,,,0.0
2021-06-17,78339,25631,,,2.0
2021-06-18,90850,27755,,,0.0
2021-06-19,36213,7884,,,2.0
2021-06-20,66,65,,,1.0
2021-06-21,4973,21087,,,0.0
2021-06-22,6694,21120,,,2.0
2021-06-23,5777,22048,,,0.0
2021-06-24,6581,22040,,,1.0
2021-06-25,7635,22720,,,0.0
2021-06-26,2216,6655,,,0.0
2021-06-27,0,0,,,3.0
2021-06-28,3278,21853,,,0.0
2021-06-29,3321,22407,,,3.0
2021-06-30,3893,22749,,,2.0
2021-07-01,1642,18865,,,1.0
2021-07-02,1588,20529,,,0.0
2021-07-03,696,4139,,,1.0
2021-07-04,0,0,,,1.0
2021-07-05,13454,9389,,,0.0
2021-07-06,7703,12346,,,4.0
2021-07-07,6871,11909,,,5.0
2021-07-08,7439,13483,,,1.0
2021-07-09,14064,20660,,,1.0
2021-07-10,3864,8264,,,0.0
2021-07-11,66,222,,,1.0
2021-07-12,6195,13308,,,2.0
2021-07-13,20140,16581,,,1.0
2021-07-14,23553,18514,,,0.0
2021-07-15,25026,20650,,,1.0
2021-07-16,26086,27192,,,1.0
2021-07-17,8953,7397,,,1.0
2021-07-18,118,151,,,0.0
2021-07-19,31651,9668,,,2.0
2021-07-20,31212,8800,,,3.0
2021-07-21,31192,6008,,,2.0
